Text Inputs : Specimen label,"S1.104M_LS_CONDYLE"
Notes : Specimen note 1,"Sheep, LS.

Tried testing on the condyle to verify that chipping the bone and gluing it back together does not effect the mechanical properties. Angle of the plane caused it to slip off and test to be void."

Time,Extension,Load,True stress
(sec),(mm),(N),(MPa)
1.40800,-66.27541,-4.57145,0.63765
1.40880,-66.27540,-4.57519,0.63817
1.40980,-66.27534,-4.57371,0.63797
1.41080,-66.27521,-4.56639,0.63695
1.41180,-66.27503,-4.55327,0.63512
1.41280,-66.27481,-4.53491,0.63256
1.41380,-66.27456,-4.51226,0.62941
1.41480,-66.27431,-4.48667,0.62584
1.41580,-66.27406,-4.45993,0.62212
1.41680,-66.27383,-4.43383,0.61848
1.41780,-66.27364,-4.41023,0.61519
1.41880,-66.27351,-4.39079,0.61249
1.41980,-66.27342,-4.37657,0.61050
1.42080,-66.27340,-4.36827,0.60935
1.42180,-66.27342,-4.36596,0.60902
1.42280,-66.27348,-4.36904,0.60945
1.42380,-66.27357,-4.37650,0.61049
1.42400,-66.27357,-4.37650,0.61049
1.42480,-66.27368,-4.38685,0.61193
1.42580,-66.27377,-4.39813,0.61350
1.42680,-66.27384,-4.40832,0.61493
1.42780,-66.27388,-4.41565,0.61595
1.42880,-66.27386,-4.41859,0.61636
1.42980,-66.27379,-4.41599,0.61600
1.43080,-66.27365,-4.40744,0.61481
1.43180,-66.27346,-4.39333,0.61284
1.43280,-66.27324,-4.37443,0.61021
1.43380,-66.27299,-4.35189,0.60707
1.43480,-66.27273,-4.32720,0.60363
1.43580,-66.27249,-4.30205,0.60012
1.43680,-66.27228,-4.27820,0.59680
1.43780,-66.27211,-4.25729,0.59389
1.43880,-66.27199,-4.24073,0.59158
1.43980,-66.27193,-4.22939,0.59000
1.44000,-66.27193,-4.22939,0.59000
1.44080,-66.27192,-4.22373,0.58921
1.44180,-66.27195,-4.22361,0.58919
1.44280,-66.27202,-4.22824,0.58984
1.44380,-66.27210,-4.23655,0.59099
1.44480,-66.27220,-4.24702,0.59245
1.44580,-66.27227,-4.25770,0.59394
1.44680,-66.27232,-4.26666,0.59519
1.44780,-66.27233,-4.27219,0.59596
1.44880,-66.27228,-4.27295,0.59607
1.44980,-66.27218,-4.26810,0.59539
1.45080,-66.27203,-4.25757,0.59393
1.45180,-66.27183,-4.24200,0.59176
1.45280,-66.27161,-4.22237,0.58902
1.45380,-66.27137,-4.19999,0.58591
1.45480,-66.27114,-4.17651,0.58264
1.45580,-66.27094,-4.15369,0.57946
1.45600,-66.27094,-4.15369,0.57946
1.45680,-66.27077,-4.13335,0.57662
1.45780,-66.27065,-4.11704,0.57435
1.45880,-66.27058,-4.10585,0.57279
1.45980,-66.27058,-4.10038,0.57202
1.46080,-66.27062,-4.10061,0.57206
1.46180,-66.27069,-4.10591,0.57279
1.46280,-66.27080,-4.11513,0.57408
1.46380,-66.27092,-4.12679,0.57570
1.46480,-66.27103,-4.13902,0.57741
1.46580,-66.27111,-4.14981,0.57891
1.46680,-66.27116,-4.15747,0.57998
1.46780,-66.27116,-4.16071,0.58043
1.46880,-66.27110,-4.15866,0.58015
1.46980,-66.27100,-4.15106,0.57909
1.47080,-66.27085,-4.13833,0.57731
1.47180,-66.27067,-4.12128,0.57494
1.47200,-66.27067,-4.12128,0.57494
1.47280,-66.27048,-4.10114,0.57213
1.47380,-66.27029,-4.07954,0.56912
1.47480,-66.27012,-4.05816,0.56614
1.47580,-66.26999,-4.03882,0.56345
1.47680,-66.26991,-4.02311,0.56126
1.47780,-66.26987,-4.01221,0.55974
1.47880,-66.26990,-4.00698,0.55901
1.47980,-66.26997,-4.00760,0.55909
1.48080,-66.27008,-4.01360,0.55993
1.48180,-66.27022,-4.02398,0.56137
1.48280,-66.27037,-4.03728,0.56323
1.48380,-66.27050,-4.05160,0.56522
1.48480,-66.27062,-4.06482,0.56706
1.48580,-66.27070,-4.07518,0.56851
1.48680,-66.27073,-4.08138,0.56937
1.48780,-66.27071,-4.08243,0.56952
1.48800,-66.27071,-4.08243,0.56952
1.48880,-66.27063,-4.07785,0.56888
1.48980,-66.27050,-4.06780,0.56748
1.49080,-66.27033,-4.05290,0.56541
1.49180,-66.27014,-4.03418,0.56280
1.49280,-66.26994,-4.01313,0.55986
1.49380,-66.26976,-3.99150,0.55685
1.49480,-66.26960,-3.97111,0.55401
1.49580,-66.26949,-3.95368,0.55158
1.49680,-66.26942,-3.94061,0.54975
1.49780,-66.26942,-3.93286,0.54867
1.49880,-66.26946,-3.93089,0.54840
1.49980,-66.26955,-3.93447,0.54890
1.50080,-66.26967,-3.94271,0.55004
1.50180,-66.26980,-3.95441,0.55167
1.50280,-66.26993,-3.96788,0.55355
1.50380,-66.27006,-3.98119,0.55540
1.50400,-66.27006,-3.98119,0.55540
1.50480,-66.27015,-3.99247,0.55698
1.50580,-66.27020,-4.00025,0.55806
1.50680,-66.27020,-4.00333,0.55849
1.50780,-66.27014,-4.00093,0.55816
1.50880,-66.27003,-3.99296,0.55705
1.50980,-66.26987,-3.98000,0.55524
1.51080,-66.26968,-3.96303,0.55288
1.51180,-66.26949,-3.94344,0.55015
1.51280,-66.26930,-3.92289,0.54728
1.51380,-66.26913,-3.90304,0.54452
1.51480,-66.26900,-3.88559,0.54209
1.51580,-66.26891,-3.87199,0.54019
1.51680,-66.26888,-3.86330,0.53898
1.51780,-66.26890,-3.86015,0.53854
1.51880,-66.26897,-3.86254,0.53887
1.51980,-66.26907,-3.86978,0.53988
1.52000,-66.26907,-3.86978,0.53988
1.52080,-66.26920,-3.88066,0.54139
1.52180,-66.26932,-3.89360,0.54320
1.52280,-66.26944,-3.90673,0.54503
1.52380,-66.26953,-3.91816,0.54662
1.52480,-66.26959,-3.92635,0.54776
1.52580,-66.26959,-3.93010,0.54829
1.52680,-66.26955,-3.92863,0.54808
1.52780,-66.26945,-3.92171,0.54712
1.52880,-66.26930,-3.90980,0.54546
1.52980,-66.26914,-3.89375,0.54322
1.53080,-66.26897,-3.87487,0.54059
1.53180,-66.26880,-3.85484,0.53780
1.53280,-66.26866,-3.83537,0.53508
1.53380,-66.26856,-3.81824,0.53270
1.53480,-66.26850,-3.80504,0.53086
1.53580,-66.26850,-3.79690,0.52972
1.53600,-66.26850,-3.79690,0.52972
1.53680,-66.26856,-3.79461,0.52940
1.53780,-66.26866,-3.79830,0.52991
1.53880,-66.26880,-3.80742,0.53118
1.53980,-66.26897,-3.82093,0.53306
1.54080,-66.26915,-3.83731,0.53535
1.54180,-66.26932,-3.85459,0.53776
1.54280,-66.26947,-3.87068,0.54000
1.54380,-66.26958,-3.88383,0.54183
1.54480,-66.26965,-3.89271,0.54307
1.54580,-66.26965,-3.89632,0.54357
1.54680,-66.26960,-3.89427,0.54329
1.54780,-66.26950,-3.88683,0.54225
1.54880,-66.26936,-3.87463,0.54055
1.54980,-66.26921,-3.85874,0.53834
1.55080,-66.26905,-3.84064,0.53581
1.55180,-66.26890,-3.82205,0.53322
1.55200,-66.26890,-3.82205,0.53322
1.55280,-66.26878,-3.80483,0.53082
1.55380,-66.26871,-3.79069,0.52885
1.55480,-66.26868,-3.78103,0.52750
1.55580,-66.26871,-3.77678,0.52691
1.55680,-66.26880,-3.77831,0.52712
1.55780,-66.26893,-3.78536,0.52810
1.55880,-66.26909,-3.79703,0.52973
1.55980,-66.26927,-3.81214,0.53183
1.56080,-66.26946,-3.82903,0.53419
1.56180,-66.26963,-3.84572,0.53651
1.56280,-66.26978,-3.86037,0.53855
1.56380,-66.26987,-3.87148,0.54010
1.56480,-66.26992,-3.87790,0.54100
1.56580,-66.26992,-3.87890,0.54114
1.56680,-66.26986,-3.87442,0.54051
1.56780,-66.26977,-3.86505,0.53921
1.56800,-66.26977,-3.86505,0.53921
1.56880,-66.26966,-3.85173,0.53735
1.56980,-66.26953,-3.83582,0.53513
1.57080,-66.26942,-3.81902,0.53279
1.57180,-66.26932,-3.80307,0.53057
1.57280,-66.26927,-3.78968,0.52870
1.57380,-66.26926,-3.78028,0.52739
1.57480,-66.26930,-3.77583,0.52677
1.57580,-66.26940,-3.77695,0.52692
1.57680,-66.26953,-3.78357,0.52784
1.57780,-66.26970,-3.79504,0.52944
1.57880,-66.26989,-3.81019,0.53155
1.57980,-66.27008,-3.82736,0.53394
1.58080,-66.27026,-3.84459,0.53635
1.58180,-66.27041,-3.85995,0.53849
1.58280,-66.27051,-3.87187,0.54015
1.58380,-66.27057,-3.87918,0.54117
1.58400,-66.27057,-3.87918,0.54117
1.58480,-66.27057,-3.88107,0.54143
1.58580,-66.27052,-3.87735,0.54091
1.58680,-66.27042,-3.86843,0.53967
1.58780,-66.27029,-3.85519,0.53782
1.58880,-66.27015,-3.83891,0.53555
1.58980,-66.27001,-3.82128,0.53310
1.59080,-66.26989,-3.80400,0.53069
1.59180,-66.26982,-3.78884,0.52857
1.59280,-66.26978,-3.77734,0.52697
1.59380,-66.26980,-3.77065,0.52604
1.59480,-66.26987,-3.76961,0.52589
1.59580,-66.27000,-3.77443,0.52656
1.59680,-66.27016,-3.78463,0.52798
1.59780,-66.27035,-3.79921,0.53001
1.59880,-66.27056,-3.81666,0.53244
1.59980,-66.27075,-3.83503,0.53500
1.60000,-66.27075,-3.83503,0.53500
1.60080,-66.27093,-3.85227,0.53741
1.60180,-66.27107,-3.86665,0.53941
1.60280,-66.27115,-3.87682,0.54083
1.60380,-66.27119,-3.88174,0.54151
1.60480,-66.27116,-3.88096,0.54140
1.60580,-66.27109,-3.87466,0.54053
1.60680,-66.27098,-3.86349,0.53897
1.60780,-66.27084,-3.84850,0.53688
1.60880,-66.27070,-3.83115,0.53446
1.60980,-66.27057,-3.81315,0.53195
1.61080,-66.27047,-3.79634,0.52961
1.61180,-66.27042,-3.78244,0.52767
1.61280,-66.27041,-3.77286,0.52634
1.61380,-66.27046,-3.76860,0.52574
1.61480,-66.27057,-3.77008,0.52595
1.61580,-66.27072,-3.77709,0.52692
1.61600,-66.27072,-3.77709,0.52692
1.61680,-66.27090,-3.78879,0.52855
1.61780,-66.27109,-3.80404,0.53068
1.61880,-66.27130,-3.82122,0.53307
1.61980,-66.27148,-3.83837,0.53546
1.62080,-66.27164,-3.85365,0.53759
1.62180,-66.27175,-3.86546,0.53923
1.62280,-66.27181,-3.87258,0.54023
1.62380,-66.27182,-3.87421,0.54045
1.62480,-66.27177,-3.87025,0.53990
1.62580,-66.27168,-3.86129,0.53865
1.62680,-66.27155,-3.84828,0.53684
1.62780,-66.27142,-3.83247,0.53464
1.62880,-66.27129,-3.81551,0.53227
1.62980,-66.27119,-3.79908,0.52998
1.63080,-66.27112,-3.78494,0.52801
1.63180,-66.27110,-3.77463,0.52657
1.63200,-66.27110,-3.77463,0.52657
1.63280,-66.27113,-3.76918,0.52581
1.63380,-66.27121,-3.76923,0.52582
1.63480,-66.27135,-3.77474,0.52658
1.63580,-66.27151,-3.78509,0.52803
1.63680,-66.27170,-3.79918,0.52999
1.63780,-66.27191,-3.81550,0.53226
1.63880,-66.27209,-3.83218,0.53459
1.63980,-66.27225,-3.84730,0.53669
1.64080,-66.27238,-3.85922,0.53835
1.64180,-66.27245,-3.86670,0.53939
1.64280,-66.27247,-3.86889,0.53970
1.64380,-66.27244,-3.86557,0.53924
1.64480,-66.27236,-3.85711,0.53806
1.64580,-66.27225,-3.84431,0.53627
1.64680,-66.27212,-3.82836,0.53405
1.64780,-66.27201,-3.81088,0.53162
1.64800,-66.27201,-3.81088,0.53162
1.64880,-66.27191,-3.79358,0.52920
1.64980,-66.27185,-3.77825,0.52707
1.65080,-66.27184,-3.76650,0.52543
1.65180,-66.27187,-3.75948,0.52445
1.65280,-66.27195,-3.75807,0.52425
1.65380,-66.27209,-3.76248,0.52486
1.65480,-66.27226,-3.77230,0.52623
1.65580,-66.27246,-3.78658,0.52822
1.65680,-66.27267,-3.80387,0.53063
1.65780,-66.27288,-3.82226,0.53319
1.65880,-66.27306,-3.83969,0.53562
1.65980,-66.27320,-3.85438,0.53766
1.66080,-66.27330,-3.86498,0.53914
1.66180,-66.27333,-3.87045,0.53990
1.66280,-66.27332,-3.87028,0.53988
1.66380,-66.27325,-3.86461,0.53909
1.66400,-66.27325,-3.86461,0.53909
1.66480,-66.27315,-3.85400,0.53761
1.66580,-66.27302,-3.83945,0.53558
1.66680,-66.27288,-3.82238,0.53321
1.66780,-66.27275,-3.80450,0.53071
1.66880,-66.27265,-3.78763,0.52836
1.66980,-66.27258,-3.77349,0.52639
1.67080,-66.27256,-3.76349,0.52500
1.67180,-66.27260,-3.75864,0.52432
1.67280,-66.27269,-3.75946,0.52443
1.67380,-66.27283,-3.76583,0.52532
1.67480,-66.27300,-3.77700,0.52687
1.67580,-66.27321,-3.79188,0.52895
1.67680,-66.27341,-3.80887,0.53131
1.67780,-66.27360,-3.82604,0.53371
1.67880,-66.27376,-3.84154,0.53586
1.67980,-66.27388,-3.85377,0.53757
1.68000,-66.27388,-3.85377,0.53757
1.68080,-66.27395,-3.86148,0.53864
1.68180,-66.27396,-3.86379,0.53896
1.68280,-66.27392,-3.86048,0.53850
1.68380,-66.27383,-3.85203,0.53733
1.68480,-66.27372,-3.83931,0.53555
1.68580,-66.27359,-3.82358,0.53336
1.68680,-66.27346,-3.80649,0.53098
1.68780,-66.27335,-3.78973,0.52864
1.68880,-66.27328,-3.77512,0.52661
1.68980,-66.27324,-3.76419,0.52508
1.69080,-66.27327,-3.75809,0.52423
1.69180,-66.27336,-3.75756,0.52416
1.69280,-66.27348,-3.76264,0.52486
1.69380,-66.27365,-3.77276,0.52627
1.69480,-66.27384,-3.78679,0.52823
1.69580,-66.27404,-3.80325,0.53052
1.69600,-66.27404,-3.80325,0.53052
1.69680,-66.27423,-3.82034,0.53290
1.69780,-66.27441,-3.83611,0.53510
1.69880,-66.27453,-3.84889,0.53688
1.69980,-66.27462,-3.85733,0.53805
1.70080,-66.27464,-3.86051,0.53850
1.70180,-66.27461,-3.85808,0.53816
1.70280,-66.27454,-3.85037,0.53708
1.70380,-66.27443,-3.83818,0.53539
1.70480,-66.27430,-3.82270,0.53323
1.70580,-66.27417,-3.80550,0.53083
1.70680,-66.27406,-3.78823,0.52842
1.70780,-66.27398,-3.77266,0.52625
1.70880,-66.27394,-3.76040,0.52454
1.70980,-66.27396,-3.75272,0.52347
1.71080,-66.27403,-3.75055,0.52317
1.71180,-66.27414,-3.75422,0.52368
1.71200,-66.27414,-3.75422,0.52368
1.71280,-66.27431,-3.76340,0.52496
1.71380,-66.27450,-3.77717,0.52687
1.71480,-66.27470,-3.79414,0.52924
1.71580,-66.27491,-3.81249,0.53179
1.71680,-66.27509,-3.83014,0.53425
1.71780,-66.27524,-3.84524,0.53636
1.71880,-66.27534,-3.85633,0.53790
1.71980,-66.27538,-3.86228,0.53873
1.72080,-66.27537,-3.86256,0.53877
1.72180,-66.27530,-3.85726,0.53803
1.72280,-66.27519,-3.84693,0.53659
1.72380,-66.27505,-3.83249,0.53458
1.72480,-66.27492,-3.81530,0.53219
1.72580,-66.27478,-3.79704,0.52964
1.72680,-66.27467,-3.77953,0.52720
1.72780,-66.27460,-3.76458,0.52512
1.72800,-66.27460,-3.76458,0.52512
1.72880,-66.27457,-3.75373,0.52360
1.72980,-66.27460,-3.74803,0.52281
1.73080,-66.27469,-3.74809,0.52281
1.73180,-66.27482,-3.75386,0.52362
1.73280,-66.27500,-3.76470,0.52513
1.73380,-66.27520,-3.77960,0.52720
1.73480,-66.27541,-3.79704,0.52963
1.73580,-66.27561,-3.81506,0.53214
1.73680,-66.27578,-3.83169,0.53446
1.73780,-66.27591,-3.84524,0.53635
1.73880,-66.27600,-3.85435,0.53762
1.73980,-66.27603,-3.85807,0.53813
1.74080,-66.27601,-3.85605,0.53785
1.74180,-66.27593,-3.84866,0.53682
1.74280,-66.27583,-3.83661,0.53514
1.74380,-66.27570,-3.82108,0.53298
1.74400,-66.27570,-3.82108,0.53298
1.74480,-66.27557,-3.80367,0.53055
1.74580,-66.27545,-3.78614,0.52811
1.74680,-66.27537,-3.77033,0.52591
1.74780,-66.27532,-3.75787,0.52417
1.74880,-66.27533,-3.75003,0.52308
1.74980,-66.27540,-3.74762,0.52274
1.75080,-66.27551,-3.75092,0.52320
1.75180,-66.27566,-3.75955,0.52440
1.75280,-66.27585,-3.77253,0.52621
1.75380,-66.27604,-3.78855,0.52844
1.75480,-66.27625,-3.80586,0.53085
1.75580,-66.27642,-3.82250,0.53317
1.75680,-66.27657,-3.83672,0.53515
1.75780,-66.27667,-3.84709,0.53659
1.75880,-66.27671,-3.85248,0.53734
1.75980,-66.27670,-3.85228,0.53732
1.76000,-66.27670,-3.85228,0.53732
1.76080,-66.27664,-3.84658,0.53652
1.76180,-66.27654,-3.83602,0.53505
1.76280,-66.27642,-3.82167,0.53305
1.76380,-66.27629,-3.80500,0.53073
1.76480,-66.27617,-3.78767,0.52831
1.76580,-66.27607,-3.77143,0.52605
1.76680,-66.27601,-3.75796,0.52417
1.76780,-66.27600,-3.74864,0.52287
1.76880,-66.27604,-3.74448,0.52229
1.76980,-66.27614,-3.74607,0.52251
1.77080,-66.27629,-3.75329,0.52352
1.77180,-66.27646,-3.76542,0.52520
1.77280,-66.27666,-3.78123,0.52741
1.77380,-66.27687,-3.79907,0.52989
1.77480,-66.27706,-3.81693,0.53238
1.77580,-66.27722,-3.83287,0.53460
1.77600,-66.27722,-3.83287,0.53460
1.77680,-66.27734,-3.84526,0.53633
1.77780,-66.27740,-3.85283,0.53738
1.77880,-66.27740,-3.85476,0.53765
1.77980,-66.27735,-3.85091,0.53711
1.78080,-66.27725,-3.84174,0.53584
1.78180,-66.27712,-3.82811,0.53394
1.78280,-66.27698,-3.81126,0.53159
1.78380,-66.27684,-3.79286,0.52903
1.78480,-66.27673,-3.77465,0.52649
1.78580,-66.27665,-3.75849,0.52423
1.78680,-66.27661,-3.74603,0.52250
1.78780,-66.27663,-3.73849,0.52145
1.78880,-66.27671,-3.73676,0.52120
1.78980,-66.27683,-3.74103,0.52180
1.79080,-66.27700,-3.75085,0.52316
1.79180,-66.27720,-3.76532,0.52518
1.79200,-66.27720,-3.76532,0.52518
1.79280,-66.27741,-3.78304,0.52765
1.79380,-66.27761,-3.80212,0.53030
1.79480,-66.27780,-3.82047,0.53286
1.79580,-66.27795,-3.83625,0.53506
1.79680,-66.27804,-3.84790,0.53668
1.79780,-66.27808,-3.85422,0.53756
1.79880,-66.27806,-3.85462,0.53762
1.79980,-66.27798,-3.84926,0.53687
1.80080,-66.27786,-3.83870,0.53540
1.80180,-66.27770,-3.82388,0.53334
1.80280,-66.27755,-3.80620,0.53087
1.80380,-66.27739,-3.78737,0.52825
1.80480,-66.27726,-3.76927,0.52573
1.80580,-66.27717,-3.75373,0.52356
1.80680,-66.27714,-3.74232,0.52197
1.80780,-66.27716,-3.73607,0.52110
1.80800,-66.27716,-3.73607,0.52110
1.80880,-66.27724,-3.73561,0.52103
1.80980,-66.27737,-3.74093,0.52177
1.81080,-66.27754,-3.75139,0.52323
1.81180,-66.27774,-3.76606,0.52527
1.81280,-66.27795,-3.78351,0.52770
1.81380,-66.27815,-3.80178,0.53025
1.81480,-66.27833,-3.81895,0.53264
1.81580,-66.27848,-3.83329,0.53464
1.81680,-66.27857,-3.84337,0.53604
1.81780,-66.27861,-3.84811,0.53670
1.81880,-66.27859,-3.84707,0.53656
1.81980,-66.27852,-3.84058,0.53565
1.82080,-66.27842,-3.82934,0.53409
1.82180,-66.27829,-3.81442,0.53201
1.82280,-66.27816,-3.79734,0.52963
1.82380,-66.27803,-3.77984,0.52719
1.82400,-66.27803,-3.77984,0.52719
1.82480,-66.27794,-3.76372,0.52494
1.82580,-66.27789,-3.75062,0.52312
1.82680,-66.27789,-3.74187,0.52190
1.82780,-66.27795,-3.73827,0.52139
1.82880,-66.27806,-3.74017,0.52166
1.82980,-66.27821,-3.74743,0.52267
1.83080,-66.27840,-3.75924,0.52431
1.83180,-66.27861,-3.77448,0.52644
1.83280,-66.27881,-3.79159,0.52882
1.83380,-66.27901,-3.80859,0.53119
1.83480,-66.27917,-3.82369,0.53329
1.83580,-66.27928,-3.83534,0.53491
1.83680,-66.27936,-3.84227,0.53588
1.83780,-66.27937,-3.84365,0.53607
1.83880,-66.27932,-3.83930,0.53546
1.83980,-66.27924,-3.82980,0.53414
1.84000,-66.27924,-3.82980,0.53414
1.84080,-66.27913,-3.81609,0.53223
1.84180,-66.27899,-3.79951,0.52992
1.84280,-66.27888,-3.78176,0.52745
1.84380,-66.27878,-3.76460,0.52505
1.84480,-66.27871,-3.74983,0.52300
1.84580,-66.27871,-3.73898,0.52148
1.84680,-66.27875,-3.73314,0.52067
1.84780,-66.27885,-3.73297,0.52064
1.84880,-66.27899,-3.73852,0.52141
1.84980,-66.27919,-3.74920,0.52290
1.85080,-66.27939,-3.76392,0.52495
1.85180,-66.27961,-3.78119,0.52735
1.85280,-66.27983,-3.79916,0.52986
1.85380,-66.28001,-3.81588,0.53219
1.85480,-66.28016,-3.82965,0.53410
1.85580,-66.28026,-3.83906,0.53542
1.85600,-66.28026,-3.83906,0.53542
1.85680,-66.28030,-3.84309,0.53598
1.85780,-66.28028,-3.84133,0.53573
1.85880,-66.28021,-3.83407,0.53472
1.85980,-66.28011,-3.82204,0.53304
1.86080,-66.27999,-3.80639,0.53086
1.86180,-66.27987,-3.78865,0.52839
1.86280,-66.27976,-3.77050,0.52586
1.86380,-66.27968,-3.75380,0.52353
1.86480,-66.27964,-3.74027,0.52165
1.86580,-66.27966,-3.73125,0.52039
1.86680,-66.27972,-3.72774,0.51990
1.86780,-66.27985,-3.73016,0.52023
1.86880,-66.28002,-3.73830,0.52137
1.86980,-66.28021,-3.75134,0.52318
1.87080,-66.28043,-3.76799,0.52550
1.87180,-66.28065,-3.78659,0.52809
1.87200,-66.28065,-3.78659,0.52809
1.87280,-66.28085,-3.80506,0.53066
1.87380,-66.28101,-3.82148,0.53295
1.87480,-66.28113,-3.83424,0.53473
1.87580,-66.28120,-3.84201,0.53581
1.87680,-66.28120,-3.84404,0.53609
1.87780,-66.28115,-3.84022,0.53556
1.87880,-66.28105,-3.83106,0.53429
1.87980,-66.28091,-3.81742,0.53239
1.88080,-66.28077,-3.80054,0.53003
1.88180,-66.28061,-3.78209,0.52746
1.88280,-66.28049,-3.76384,0.52492
1.88380,-66.28039,-3.74765,0.52267
1.88480,-66.28035,-3.73519,0.52093
1.88580,-66.28035,-3.72761,0.51987
1.88680,-66.28041,-3.72570,0.51960
1.88780,-66.28053,-3.72962,0.52015
1.88800,-66.28053,-3.72962,0.52015
1.88880,-66.28068,-3.73896,0.52145
1.88980,-66.28087,-3.75288,0.52339
1.89080,-66.28107,-3.77006,0.52578
1.89180,-66.28126,-3.78866,0.52837
1.89280,-66.28145,-3.80667,0.53088
1.89380,-66.28158,-3.82229,0.53306
1.89480,-66.28168,-3.83397,0.53468
1.89580,-66.28172,-3.84047,0.53559
1.89680,-66.28170,-3.84116,0.53569
1.89780,-66.28161,-3.83614,0.53499
1.89880,-66.28149,-3.82599,0.53357
1.89980,-66.28134,-3.81167,0.53158
1.90080,-66.28118,-3.79453,0.52919
1.90180,-66.28102,-3.77634,0.52666
1.90280,-66.28089,-3.75883,0.52422
1.90380,-66.28080,-3.74374,0.52211
1.90400,-66.28080,-3.74374,0.52211
1.90480,-66.28076,-3.73259,0.52056
1.90580,-66.28077,-3.72636,0.51969
1.90680,-66.28084,-3.72570,0.51960
1.90780,-66.28096,-3.73073,0.52030
1.90880,-66.28111,-3.74088,0.52171
1.90980,-66.28130,-3.75528,0.52371
1.91080,-66.28150,-3.77251,0.52611
1.91180,-66.28169,-3.79072,0.52865
1.91280,-66.28185,-3.80802,0.53106
1.91380,-66.28198,-3.82269,0.53311
1.91480,-66.28207,-3.83327,0.53458
1.91580,-66.28209,-3.83851,0.53531
1.91680,-66.28206,-3.83789,0.53522
1.91780,-66.28198,-3.83166,0.53436
1.91880,-66.28187,-3.82053,0.53281
1.91980,-66.28172,-3.80555,0.53072
1.92000,-66.28172,-3.80555,0.53072
1.92080,-66.28158,-3.78815,0.52829
1.92180,-66.28144,-3.77009,0.52578
1.92280,-66.28133,-3.75309,0.52341
1.92380,-66.28126,-3.73882,0.52142
1.92480,-66.28124,-3.72874,0.52001
1.92580,-66.28128,-3.72371,0.51931
1.92680,-66.28137,-3.72427,0.51939
1.92780,-66.28152,-3.73043,0.52025
1.92880,-66.28170,-3.74155,0.52179
1.92980,-66.28191,-3.75667,0.52390
1.93080,-66.28212,-3.77434,0.52636
1.93180,-66.28231,-3.79264,0.52891
1.93280,-66.28249,-3.80966,0.53128
1.93380,-66.28262,-3.82366,0.53323
1.93480,-66.28270,-3.83320,0.53456
1.93580,-66.28273,-3.83720,0.53512
1.93600,-66.28273,-3.83720,0.53512
1.93680,-66.28270,-3.83529,0.53485
1.93780,-66.28261,-3.82789,0.53382
1.93880,-66.28250,-3.81572,0.53213
1.93980,-66.28236,-3.79989,0.52992
1.94080,-66.28222,-3.78190,0.52741
1.94180,-66.28209,-3.76351,0.52485
1.94280,-66.28199,-3.74655,0.52249
1.94380,-66.28194,-3.73272,0.52056
1.94480,-66.28194,-3.72338,0.51926
1.94580,-66.28199,-3.71936,0.51869
1.94680,-66.28210,-3.72101,0.51892
1.94780,-66.28226,-3.72823,0.51993
1.94880,-66.28245,-3.74024,0.52160
1.94980,-66.28266,-3.75600,0.52379
1.95080,-66.28287,-3.77390,0.52629
1.95180,-66.28307,-3.79192,0.52880
1.95200,-66.28307,-3.79192,0.52880
1.95280,-66.28324,-3.80817,0.53106
1.95380,-66.28336,-3.82096,0.53284
1.95480,-66.28343,-3.82896,0.53396
1.95580,-66.28343,-3.83132,0.53429
1.95680,-66.28339,-3.82785,0.53380
1.95780,-66.28330,-3.81908,0.53258
1.95880,-66.28317,-3.80585,0.53074
1.95980,-66.28303,-3.78939,0.52844
1.96080,-66.28289,-3.77138,0.52594
1.96180,-66.28277,-3.75363,0.52346
1.96280,-66.28269,-3.73796,0.52128
1.96380,-66.28265,-3.72595,0.51960
1.96480,-66.28267,-3.71872,0.51860
1.96580,-66.28274,-3.71696,0.51835
1.96680,-66.28286,-3.72082,0.51889
1.96780,-66.28303,-3.72991,0.52015
1.96800,-66.28303,-3.72991,0.52015
1.96880,-66.28323,-3.74326,0.52201
1.96980,-66.28344,-3.75955,0.52428
1.97080,-66.28365,-3.77700,0.52671
1.97180,-66.28383,-3.79362,0.52902
1.97280,-66.28398,-3.80765,0.53098
1.97380,-66.28408,-3.81763,0.53237
1.97480,-66.28413,-3.82245,0.53304
1.97580,-66.28412,-3.82160,0.53292
1.97680,-66.28406,-3.81526,0.53204
1.97780,-66.28396,-3.80410,0.53048
1.97880,-66.28383,-3.78916,0.52840
1.97980,-66.28371,-3.77194,0.52600
1.98080,-66.28359,-3.75412,0.52352
1.98180,-66.28351,-3.73751,0.52120
1.98280,-66.28346,-3.72382,0.51929
1.98380,-66.28347,-3.71443,0.51798
1.98400,-66.28347,-3.71443,0.51798
1.98480,-66.28353,-3.71031,0.51741
1.98580,-66.28365,-3.71200,0.51764
1.98680,-66.28381,-3.71937,0.51867
1.98780,-66.28400,-3.73167,0.52038
1.98880,-66.28422,-3.74775,0.52262
1.98980,-66.28444,-3.76598,0.52516
1.99080,-66.28464,-3.78436,0.52772
1.99180,-66.28482,-3.80094,0.53003
1.99280,-66.28494,-3.81403,0.53185
1.99380,-66.28502,-3.82226,0.53300
1.99480,-66.28503,-3.82477,0.53335
1.99580,-66.28499,-3.82140,0.53288
1.99680,-66.28490,-3.81260,0.53165
1.99780,-66.28478,-3.79918,0.52978
1.99880,-66.28464,-3.78238,0.52744
1.99980,-66.28450,-3.76382,0.52486
