Text Inputs : Specimen label,"S1.104M_WoLS"
Notes : Specimen note 1,"Sheep cartilage, Medial, Without LS.

Bone cement hadn't fully hardened causing the bone to sink with compressive forces applied. Aborted test and waited."

Time,Extension,Load,True stress
(sec),(mm),(N),(MPa)
0.14400,-58.66439,0.02015,-0.00293
0.14480,-58.66769,0.02021,-0.00294
0.14580,-58.67102,0.02024,-0.00294
0.14680,-58.67437,0.02018,-0.00293
0.14780,-58.67775,0.02000,-0.00291
0.14880,-58.68116,0.01974,-0.00287
0.14980,-58.68459,0.01949,-0.00283
0.15080,-58.68804,0.01934,-0.00281
0.15180,-58.69152,0.01933,-0.00281
0.15280,-58.69503,0.01942,-0.00282
0.15380,-58.69855,0.01951,-0.00283
0.15480,-58.70211,0.01956,-0.00284
0.15580,-58.70569,0.01956,-0.00284
0.15680,-58.70931,0.01961,-0.00285
0.15780,-58.71295,0.01981,-0.00288
0.15880,-58.71661,0.02017,-0.00293
0.15980,-58.72030,0.02062,-0.00299
0.16000,-58.72030,0.02062,-0.00299
0.16080,-58.72403,0.02101,-0.00305
0.16180,-58.72778,0.02123,-0.00308
0.16280,-58.73156,0.02124,-0.00308
0.16380,-58.73538,0.02113,-0.00307
0.16480,-58.73922,0.02102,-0.00305
0.16580,-58.74310,0.02101,-0.00305
0.16680,-58.74699,0.02102,-0.00305
0.16780,-58.75091,0.02094,-0.00304
0.16880,-58.75487,0.02069,-0.00300
0.16980,-58.75884,0.02026,-0.00294
0.17080,-58.76284,0.01974,-0.00286
0.17180,-58.76687,0.01924,-0.00279
0.17280,-58.77092,0.01887,-0.00274
0.17380,-58.77499,0.01866,-0.00270
0.17480,-58.77909,0.01847,-0.00268
0.17580,-58.78322,0.01822,-0.00264
0.17600,-58.78322,0.01822,-0.00264
0.17680,-58.78737,0.01792,-0.00260
0.17780,-58.79154,0.01765,-0.00256
0.17880,-58.79575,0.01748,-0.00253
0.17980,-58.79998,0.01746,-0.00253
0.18080,-58.80423,0.01760,-0.00255
0.18180,-58.80851,0.01781,-0.00258
0.18280,-58.81281,0.01801,-0.00261
0.18380,-58.81714,0.01814,-0.00263
0.18480,-58.82150,0.01821,-0.00264
0.18580,-58.82589,0.01827,-0.00265
0.18680,-58.83031,0.01840,-0.00266
0.18780,-58.83475,0.01861,-0.00269
0.18880,-58.83922,0.01885,-0.00273
0.18980,-58.84373,0.01902,-0.00275
0.19080,-58.84825,0.01907,-0.00276
0.19180,-58.85281,0.01899,-0.00275
0.19200,-58.85281,0.01899,-0.00275
0.19280,-58.85739,0.01888,-0.00273
0.19380,-58.86200,0.01879,-0.00272
0.19480,-58.86663,0.01872,-0.00271
0.19580,-58.87129,0.01861,-0.00269
0.19680,-58.87597,0.01841,-0.00266
0.19780,-58.88069,0.01809,-0.00262
0.19880,-58.88543,0.01773,-0.00256
0.19980,-58.89019,0.01744,-0.00252
0.20080,-58.89499,0.01731,-0.00250
0.20180,-58.89980,0.01733,-0.00250
0.20280,-58.90464,0.01744,-0.00252
0.20380,-58.90952,0.01752,-0.00253
0.20480,-58.91443,0.01753,-0.00253
0.20580,-58.91936,0.01756,-0.00254
0.20680,-58.92433,0.01770,-0.00256
0.20780,-58.92933,0.01797,-0.00259
0.20800,-58.92933,0.01797,-0.00259
0.20880,-58.93436,0.01825,-0.00263
0.20980,-58.93941,0.01844,-0.00266
0.21080,-58.94450,0.01849,-0.00267
0.21180,-58.94960,0.01845,-0.00266
0.21280,-58.95474,0.01844,-0.00266
0.21380,-58.95990,0.01852,-0.00267
0.21480,-58.96508,0.01861,-0.00269
0.21580,-58.97029,0.01859,-0.00268
0.21680,-58.97553,0.01843,-0.00266
0.21780,-58.98080,0.01824,-0.00263
0.21880,-58.98610,0.01819,-0.00262
0.21980,-58.99143,0.01834,-0.00264
0.22080,-58.99677,0.01868,-0.00269
0.22180,-59.00215,0.01903,-0.00274
0.22280,-59.00756,0.01924,-0.00277
0.22380,-59.01299,0.01932,-0.00279
0.22400,-59.01299,0.01932,-0.00279
0.22480,-59.01845,0.01941,-0.00280
0.22580,-59.02395,0.01957,-0.00282
0.22680,-59.02947,0.01982,-0.00285
0.22780,-59.03501,0.02000,-0.00288
0.22880,-59.04059,0.01998,-0.00288
0.22980,-59.04618,0.01977,-0.00285
0.23080,-59.05181,0.01950,-0.00281
0.23180,-59.05746,0.01929,-0.00278
0.23280,-59.06314,0.01920,-0.00276
0.23380,-59.06885,0.01910,-0.00275
0.23480,-59.07459,0.01891,-0.00272
0.23580,-59.08035,0.01867,-0.00269
0.23680,-59.08614,0.01848,-0.00266
0.23780,-59.09195,0.01847,-0.00266
0.23880,-59.09779,0.01862,-0.00268
0.23980,-59.10365,0.01873,-0.00269
0.24000,-59.10365,0.01873,-0.00269
0.24080,-59.10954,0.01871,-0.00269
0.24180,-59.11546,0.01848,-0.00266
0.24280,-59.12141,0.01816,-0.00261
0.24380,-59.12738,0.01791,-0.00257
0.24480,-59.13337,0.01773,-0.00255
0.24580,-59.13939,0.01757,-0.00252
0.24680,-59.14544,0.01728,-0.00248
0.24780,-59.15152,0.01681,-0.00241
0.24880,-59.15761,0.01627,-0.00234
0.24980,-59.16373,0.01577,-0.00226
0.25080,-59.16988,0.01542,-0.00221
0.25180,-59.17606,0.01517,-0.00218
0.25280,-59.18225,0.01493,-0.00214
0.25380,-59.18848,0.01461,-0.00210
0.25480,-59.19473,0.01423,-0.00204
0.25580,-59.20101,0.01393,-0.00200
0.25600,-59.20101,0.01393,-0.00200
0.25680,-59.20731,0.01380,-0.00198
0.25780,-59.21363,0.01376,-0.00197
0.25880,-59.21999,0.01370,-0.00196
0.25980,-59.22637,0.01346,-0.00193
0.26080,-59.23277,0.01307,-0.00187
0.26180,-59.23921,0.01264,-0.00181
0.26280,-59.24567,0.01231,-0.00176
0.26380,-59.25217,0.01211,-0.00174
0.26480,-59.25868,0.01193,-0.00171
0.26580,-59.26523,0.01169,-0.00167
0.26680,-59.27179,0.01144,-0.00164
0.26780,-59.27839,0.01128,-0.00162
0.26880,-59.28500,0.01134,-0.00162
0.26980,-59.29164,0.01158,-0.00166
0.27080,-59.29831,0.01187,-0.00170
0.27180,-59.30500,0.01209,-0.00173
0.27200,-59.30500,0.01209,-0.00173
0.27280,-59.31173,0.01223,-0.00175
0.27380,-59.31848,0.01237,-0.00177
0.27480,-59.32526,0.01255,-0.00180
0.27580,-59.33206,0.01274,-0.00182
0.27680,-59.33891,0.01279,-0.00183
0.27780,-59.34578,0.01270,-0.00181
0.27880,-59.35268,0.01253,-0.00179
0.27980,-59.35961,0.01246,-0.00178
0.28080,-59.36656,0.01256,-0.00179
0.28180,-59.37355,0.01279,-0.00183
0.28280,-59.38056,0.01301,-0.00186
0.28380,-59.38761,0.01314,-0.00188
0.28480,-59.39469,0.01322,-0.00189
0.28580,-59.40179,0.01337,-0.00191
0.28680,-59.40893,0.01365,-0.00195
0.28780,-59.41608,0.01397,-0.00199
0.28800,-59.41608,0.01397,-0.00199
0.28880,-59.42326,0.01419,-0.00202
0.28980,-59.43047,0.01422,-0.00203
0.29080,-59.43771,0.01407,-0.00201
0.29180,-59.44498,0.01390,-0.00198
0.29280,-59.45227,0.01385,-0.00198
0.29380,-59.45959,0.01396,-0.00199
0.29480,-59.46694,0.01410,-0.00201
0.29580,-59.47431,0.01417,-0.00202
0.29680,-59.48172,0.01419,-0.00202
0.29780,-59.48915,0.01429,-0.00204
0.29880,-59.49662,0.01456,-0.00207
0.29980,-59.50412,0.01503,-0.00214
0.30080,-59.51165,0.01560,-0.00222
0.30180,-59.51921,0.01610,-0.00229
0.30280,-59.52679,0.01643,-0.00234
0.30380,-59.53441,0.01661,-0.00236
0.30400,-59.53441,0.01661,-0.00236
0.30480,-59.54206,0.01672,-0.00238
0.30580,-59.54974,0.01674,-0.00238
0.30680,-59.55746,0.01648,-0.00234
0.30780,-59.56519,0.01569,-0.00223
0.30880,-59.57296,0.01415,-0.00201
0.30980,-59.58075,0.01173,-0.00167
0.31080,-59.58856,0.00841,-0.00119
0.31180,-59.59640,0.00412,-0.00058
0.31280,-59.60427,-0.00129,0.00018
0.31380,-59.61215,-0.00803,0.00114
0.31480,-59.62006,-0.01631,0.00232
0.31580,-59.62797,-0.02620,0.00372
0.31680,-59.63590,-0.03776,0.00536
0.31780,-59.64383,-0.05103,0.00724
0.31880,-59.65177,-0.06617,0.00939
0.31980,-59.65970,-0.08334,0.01182
0.32000,-59.65970,-0.08334,0.01182
0.32080,-59.66762,-0.10265,0.01456
0.32180,-59.67552,-0.12417,0.01761
0.32280,-59.68340,-0.14784,0.02096
0.32380,-59.69124,-0.17361,0.02461
0.32480,-59.69905,-0.20146,0.02855
0.32580,-59.70681,-0.23144,0.03279
0.32680,-59.71452,-0.26362,0.03734
0.32780,-59.72218,-0.29790,0.04219
