Text Inputs : Specimen label,"S1.104M_WoLS"
Notes : Specimen note 1,"Sheep cartilage, Medial, Without LS.

Bone cement hadn't fully hardened causing the bone to sink with compressive forces applied. Aborted test and waited."

Time,Extension,Load,True stress
(sec),(mm),(N),(MPa)
11.33880,-60.75614,-3.53368,0.48761
11.34400,-60.75629,-3.53290,0.48750
11.35780,-60.75674,-3.53070,0.48719
11.36000,-60.75681,-3.53065,0.48719
11.37600,-60.75731,-3.53369,0.48760
11.39080,-60.75779,-3.53471,0.48773
11.39200,-60.75782,-3.53455,0.48771
11.40800,-60.75833,-3.53390,0.48761
11.42400,-60.75883,-3.53416,0.48764
11.42580,-60.75890,-3.53439,0.48767
11.44000,-60.75934,-3.53345,0.48754
11.45180,-60.75972,-3.53212,0.48735
11.45600,-60.75985,-3.53214,0.48735
11.47200,-60.76035,-3.53061,0.48714
11.47780,-60.76054,-3.53116,0.48721
11.48800,-60.76086,-3.53276,0.48743
11.50400,-60.76137,-3.53459,0.48767
11.50980,-60.76156,-3.53381,0.48756
11.52000,-60.76187,-3.53380,0.48756
11.53600,-60.76238,-3.53431,0.48762
11.54380,-60.76264,-3.53418,0.48760
11.55200,-60.76289,-3.53277,0.48740
11.56800,-60.76340,-3.53232,0.48733
11.57180,-60.76352,-3.53288,0.48741
11.58400,-60.76390,-3.53294,0.48741
11.60000,-60.76441,-3.53399,0.48755
11.60380,-60.76454,-3.53487,0.48767
11.61600,-60.76492,-3.53474,0.48765
11.62980,-60.76536,-3.53376,0.48751
11.63200,-60.76542,-3.53348,0.48747
11.64800,-60.76593,-3.53356,0.48747
11.65880,-60.76628,-3.53259,0.48734
11.66400,-60.76644,-3.53248,0.48732
11.68000,-60.76694,-3.53224,0.48728
11.69380,-60.76739,-3.53343,0.48744
11.69600,-60.76745,-3.53362,0.48746
11.71200,-60.76796,-3.53131,0.48714
11.72080,-60.76825,-3.53299,0.48737
11.72800,-60.76846,-3.53340,0.48742
11.74400,-60.76898,-3.53336,0.48741
11.74680,-60.76907,-3.53313,0.48737
11.76000,-60.76948,-3.53454,0.48756
11.77600,-60.76998,-3.53540,0.48768
11.78680,-60.77034,-3.53439,0.48753
11.79200,-60.77050,-3.53379,0.48745
11.80800,-60.77100,-3.53240,0.48725
11.81480,-60.77122,-3.53338,0.48738
11.82400,-60.77151,-3.53280,0.48730
11.84000,-60.77212,-3.53372,0.48742
11.84280,-60.77223,-3.53354,0.48739
11.85600,-60.77273,-3.53203,0.48718
11.87200,-60.77334,-3.53506,0.48759
11.87980,-60.77364,-3.53623,0.48775
11.88800,-60.77395,-3.53668,0.48780
11.89980,-60.77440,-3.53306,0.48730
11.90400,-60.77455,-3.53193,0.48714
11.92000,-60.77516,-3.53384,0.48740
11.93600,-60.77577,-3.53546,0.48761
11.93880,-60.77589,-3.53441,0.48747
11.95200,-60.77638,-3.53317,0.48729
11.96800,-60.77699,-3.53456,0.48747
11.97080,-60.77710,-3.53444,0.48746
11.98400,-60.77760,-3.53341,0.48731
11.99780,-60.77813,-3.53290,0.48723
12.00000,-60.77820,-3.53285,0.48722
12.01600,-60.77881,-3.53189,0.48708
12.03080,-60.77938,-3.53569,0.48760
12.03200,-60.77942,-3.53588,0.48763
12.04800,-60.78002,-3.53708,0.48778
12.06400,-60.78053,-3.53610,0.48764
12.06580,-60.78059,-3.53560,0.48757
12.08000,-60.78104,-3.53287,0.48719
12.09480,-60.78151,-3.53357,0.48728
12.09600,-60.78154,-3.53363,0.48729
12.11200,-60.78205,-3.53363,0.48728
12.12380,-60.78243,-3.53294,0.48718
12.12800,-60.78256,-3.53208,0.48706
12.14400,-60.78307,-3.53133,0.48695
12.15280,-60.78335,-3.53324,0.48721
12.16000,-60.78357,-3.53334,0.48722
12.17600,-60.78408,-3.53435,0.48736
12.18580,-60.78440,-3.53443,0.48736
12.19200,-60.78459,-3.53358,0.48724
12.20800,-60.78509,-3.53418,0.48732
12.21480,-60.78531,-3.53342,0.48721
12.22400,-60.78560,-3.53247,0.48708
12.24000,-60.78611,-3.53456,0.48736
12.24880,-60.78639,-3.53380,0.48725
12.25600,-60.78661,-3.53246,0.48706
12.27200,-60.78712,-3.53398,0.48727
12.27980,-60.78737,-3.53380,0.48724
12.28800,-60.78763,-3.53295,0.48712
12.30400,-60.78813,-3.53195,0.48697
12.30680,-60.78823,-3.53144,0.48690
12.32000,-60.78864,-3.53060,0.48678
12.33600,-60.78915,-3.53376,0.48721
12.34180,-60.78934,-3.53474,0.48734
12.35200,-60.78965,-3.53467,0.48733
12.36800,-60.79017,-3.53446,0.48730
12.37080,-60.79026,-3.53375,0.48720
12.38400,-60.79067,-3.53205,0.48696
12.39980,-60.79118,-3.53302,0.48708
12.40000,-60.79118,-3.53302,0.48708
12.41600,-60.79169,-3.53400,0.48721
12.42880,-60.79209,-3.53286,0.48705
12.43200,-60.79219,-3.53240,0.48699
12.44800,-60.79270,-3.53278,0.48703
12.46080,-60.79311,-3.53467,0.48729
12.46400,-60.79321,-3.53487,0.48731
12.48000,-60.79371,-3.53448,0.48726
12.48980,-60.79403,-3.53470,0.48728
12.49600,-60.79422,-3.53518,0.48734
12.51200,-60.79473,-3.53754,0.48766
12.52680,-60.79520,-3.53659,0.48753
12.52800,-60.79523,-3.53646,0.48751
12.54400,-60.79574,-3.53412,0.48718
12.55580,-60.79612,-3.53433,0.48720
12.56000,-60.79625,-3.53454,0.48723
12.57600,-60.79676,-3.53583,0.48740
12.58980,-60.79720,-3.53621,0.48745
12.59200,-60.79726,-3.53586,0.48740
12.60800,-60.79777,-3.53438,0.48719
12.62380,-60.79828,-3.53535,0.48732
12.62400,-60.79828,-3.53535,0.48732
12.64000,-60.79878,-3.53571,0.48736
12.65480,-60.79926,-3.53543,0.48732
12.65600,-60.79929,-3.53551,0.48733
12.67200,-60.79980,-3.53486,0.48723
12.68580,-60.80024,-3.53449,0.48717
12.68800,-60.80030,-3.53426,0.48714
12.70400,-60.80081,-3.53351,0.48703
12.71780,-60.80125,-3.53503,0.48724
12.72000,-60.80132,-3.53511,0.48725
12.73600,-60.80182,-3.53538,0.48728
12.74680,-60.80218,-3.53483,0.48720
12.75200,-60.80233,-3.53457,0.48716
12.76800,-60.80284,-3.53439,0.48713
12.78400,-60.80334,-3.53648,0.48741
12.78580,-60.80341,-3.53633,0.48739
12.80000,-60.80386,-3.53396,0.48706
12.80580,-60.80405,-3.53317,0.48695
12.81600,-60.80436,-3.53418,0.48708
12.83200,-60.80487,-3.53504,0.48719
12.83880,-60.80509,-3.53483,0.48716
12.84800,-60.80538,-3.53513,0.48720
12.86400,-60.80588,-3.53525,0.48721
12.87580,-60.80626,-3.53590,0.48729
12.88000,-60.80639,-3.53595,0.48730
12.89600,-60.80690,-3.53630,0.48734
12.91080,-60.80737,-3.53737,0.48748
12.91200,-60.80740,-3.53735,0.48748
12.92800,-60.80791,-3.53523,0.48718
12.93480,-60.80813,-3.53416,0.48703
12.94400,-60.80842,-3.53463,0.48709
12.96000,-60.80892,-3.53460,0.48708
12.96680,-60.80915,-3.53489,0.48712
12.97600,-60.80944,-3.53571,0.48723
12.99200,-60.80994,-3.53712,0.48742
13.00280,-60.81029,-3.53653,0.48733
13.00800,-60.81045,-3.53562,0.48720
13.02400,-60.81096,-3.53487,0.48709
13.02880,-60.81111,-3.53449,0.48704
13.04000,-60.81146,-3.53562,0.48719
13.05600,-60.81197,-3.53760,0.48746
13.06680,-60.81231,-3.53724,0.48740
13.07200,-60.81248,-3.53693,0.48736
13.08800,-60.81298,-3.53652,0.48730
13.09480,-60.81321,-3.53504,0.48709
13.10400,-60.81349,-3.53471,0.48704
13.12000,-60.81400,-3.53668,0.48731
13.13380,-60.81444,-3.53696,0.48734
13.13600,-60.81450,-3.53719,0.48737
13.15200,-60.81501,-3.53645,0.48726
13.16800,-60.81552,-3.53629,0.48723
13.16880,-60.81555,-3.53615,0.48721
13.18400,-60.81602,-3.53533,0.48709
13.19980,-60.81653,-3.53465,0.48699
13.20000,-60.81653,-3.53465,0.48699
13.21600,-60.81704,-3.53334,0.48681
13.22480,-60.81732,-3.53363,0.48684
13.23200,-60.81755,-3.53438,0.48695
13.24800,-60.81805,-3.53682,0.48727
13.26400,-60.81856,-3.53658,0.48723
13.26680,-60.81865,-3.53563,0.48710
13.28000,-60.81907,-3.53216,0.48662
13.29600,-60.81957,-3.53559,0.48709
13.29780,-60.81964,-3.53609,0.48715
13.31200,-60.82008,-3.53556,0.48708
13.32480,-60.82049,-3.53531,0.48704
13.32800,-60.82059,-3.53525,0.48703
13.34400,-60.82109,-3.53635,0.48717
13.36000,-60.82160,-3.53615,0.48714
13.36080,-60.82164,-3.53606,0.48712
13.37600,-60.82211,-3.53460,0.48692
13.39200,-60.82261,-3.53442,0.48689
13.39280,-60.82265,-3.53442,0.48689
13.40800,-60.82313,-3.53418,0.48685
13.42400,-60.82363,-3.53539,0.48701
13.42880,-60.82379,-3.53578,0.48706
13.44000,-60.82414,-3.53577,0.48705
13.45600,-60.82465,-3.53442,0.48686
13.45880,-60.82474,-3.53424,0.48684
13.47200,-60.82515,-3.53422,0.48683
13.48800,-60.82566,-3.53457,0.48687
13.48980,-60.82572,-3.53465,0.48688
13.50400,-60.82617,-3.53343,0.48671
13.52000,-60.82667,-3.53462,0.48686
13.52080,-60.82671,-3.53474,0.48688
13.53600,-60.82718,-3.53597,0.48704
13.55200,-60.82769,-3.53667,0.48713
13.55480,-60.82778,-3.53667,0.48713
13.56800,-60.82819,-3.53612,0.48705
13.58400,-60.82864,-3.53678,0.48714
13.59080,-60.82882,-3.53651,0.48710
13.60000,-60.82905,-3.53644,0.48708
13.61600,-60.82945,-3.53735,0.48721
13.62780,-60.82975,-3.53594,0.48701
13.63200,-60.82985,-3.53501,0.48688
13.64800,-60.83026,-3.53445,0.48680
13.65980,-60.83057,-3.53434,0.48678
13.66400,-60.83067,-3.53458,0.48681
13.68000,-60.83107,-3.53462,0.48681
13.69180,-60.83137,-3.53450,0.48679
13.69600,-60.83148,-3.53443,0.48678
13.71200,-60.83189,-3.53504,0.48686
13.72800,-60.83229,-3.53568,0.48694
13.73080,-60.83236,-3.53556,0.48692
13.74400,-60.83269,-3.53300,0.48657
13.75680,-60.83303,-3.53356,0.48664
13.76000,-60.83310,-3.53384,0.48668
13.77600,-60.83350,-3.53517,0.48685
13.79080,-60.83388,-3.53512,0.48684
13.79200,-60.83391,-3.53519,0.48685
13.80800,-60.83432,-3.53445,0.48675
13.81680,-60.83455,-3.53203,0.48641
13.82400,-60.83476,-3.53221,0.48643
13.84000,-60.83527,-3.53710,0.48710
13.85480,-60.83574,-3.53701,0.48708
13.85600,-60.83577,-3.53686,0.48706
13.87200,-60.83628,-3.53546,0.48686
13.88800,-60.83679,-3.53723,0.48710
13.89380,-60.83698,-3.53767,0.48716
13.90400,-60.83729,-3.53804,0.48720
13.92000,-60.83781,-3.53569,0.48687
13.92880,-60.83809,-3.53568,0.48687
13.93600,-60.83831,-3.53585,0.48689
13.95200,-60.83882,-3.53727,0.48708
13.96180,-60.83914,-3.53628,0.48694
13.96800,-60.83933,-3.53452,0.48669
13.98400,-60.83983,-3.53580,0.48686
14.00000,-60.84034,-3.53899,0.48730
14.00480,-60.84050,-3.53876,0.48726
14.01600,-60.84085,-3.53774,0.48712
14.02780,-60.84123,-3.53433,0.48664
14.03200,-60.84135,-3.53331,0.48650
14.04800,-60.84186,-3.53484,0.48671
14.06400,-60.84237,-3.53992,0.48740
14.06680,-60.84246,-3.53968,0.48736
14.08000,-60.84287,-3.53777,0.48710
14.09480,-60.84335,-3.53528,0.48675
14.09600,-60.84338,-3.53523,0.48674
14.11200,-60.84389,-3.53245,0.48635
14.11780,-60.84408,-3.53165,0.48624
14.12800,-60.84439,-3.53430,0.48660
14.14400,-60.84490,-3.54023,0.48741
14.16000,-60.84541,-3.54051,0.48744
14.16480,-60.84557,-3.53889,0.48722
14.17600,-60.84592,-3.53725,0.48699
14.18880,-60.84633,-3.53706,0.48696
14.19200,-60.84642,-3.53668,0.48690
14.20800,-60.84693,-3.53813,0.48710
14.22400,-60.84744,-3.54049,0.48741
14.22980,-60.84763,-3.53969,0.48730
14.24000,-60.84794,-3.53874,0.48717
14.25600,-60.84845,-3.53755,0.48700
14.25680,-60.84849,-3.53719,0.48695
14.27200,-60.84895,-3.54071,0.48743
14.28780,-60.84927,-3.53901,0.48719
14.28800,-60.84927,-3.53901,0.48719
14.30400,-60.84957,-3.54084,0.48744
14.32000,-60.84987,-3.53895,0.48717
14.33600,-60.85018,-3.53768,0.48699
14.33680,-60.85020,-3.53695,0.48689
14.35200,-60.85052,-3.53257,0.48629
14.36780,-60.85093,-3.53738,0.48694
14.36800,-60.85093,-3.53738,0.48694
14.38400,-60.85133,-3.53870,0.48712
14.39780,-60.85169,-3.53838,0.48707
14.40000,-60.85174,-3.53786,0.48700
14.41600,-60.85214,-3.54007,0.48730
14.42680,-60.85243,-3.53739,0.48693
14.43200,-60.85258,-3.53718,0.48690
14.44800,-60.85309,-3.54344,0.48775
14.46400,-60.85360,-3.53779,0.48697
14.46580,-60.85366,-3.53615,0.48674
14.48000,-60.85411,-3.53596,0.48671
14.49600,-60.85461,-3.53725,0.48688
14.49680,-60.85464,-3.53706,0.48685
14.51200,-60.85512,-3.53956,0.48719
14.52800,-60.85563,-3.53719,0.48686
14.54080,-60.85604,-3.53636,0.48674
14.54400,-60.85613,-3.53588,0.48667
14.56000,-60.85664,-3.54008,0.48724
14.57600,-60.85715,-3.53988,0.48721
14.58780,-60.85753,-3.53845,0.48701
14.59200,-60.85766,-3.53703,0.48681
14.60800,-60.85816,-3.53873,0.48704
14.61680,-60.85845,-3.53520,0.48655
14.62400,-60.85867,-3.53236,0.48616
14.62780,-60.85880,-3.53067,0.48592
14.64000,-60.85918,-3.53221,0.48613
14.65600,-60.85968,-3.54174,0.48743
14.67200,-60.86015,-3.54616,0.48804
14.68800,-60.86056,-3.54062,0.48727
14.68880,-60.86058,-3.53987,0.48717
14.69980,-60.86086,-3.53245,0.48614
14.70400,-60.86096,-3.53110,0.48595
14.72000,-60.86137,-3.53042,0.48586
14.73600,-60.86178,-3.53374,0.48631
14.73780,-60.86183,-3.53402,0.48634
14.75200,-60.86218,-3.53511,0.48649
14.75980,-60.86241,-3.53403,0.48634
14.76800,-60.86265,-3.53304,0.48620
14.78400,-60.86319,-3.53463,0.48641
14.79980,-60.86380,-3.53626,0.48663
14.80000,-60.86380,-3.53626,0.48663
14.81600,-60.86441,-3.54485,0.48780
14.83200,-60.86471,-3.54305,0.48755
14.83980,-60.86481,-3.53738,0.48677
14.84800,-60.86500,-3.53999,0.48713
14.86400,-60.86541,-3.54128,0.48730
14.86980,-60.86556,-3.53653,0.48664
14.88000,-60.86581,-3.53853,0.48692
14.89600,-60.86622,-3.53748,0.48677
14.91180,-60.86662,-3.53448,0.48635
14.91200,-60.86662,-3.53448,0.48635
14.92800,-60.86703,-3.53799,0.48683
14.94400,-60.86753,-3.53904,0.48696
14.95880,-60.86800,-3.53574,0.48650
14.96000,-60.86804,-3.53515,0.48642
14.97600,-60.86854,-3.53672,0.48663
14.97980,-60.86867,-3.53434,0.48630
14.99200,-60.86905,-3.54022,0.48711
15.00800,-60.86956,-3.53962,0.48702
15.02400,-60.87006,-3.54092,0.48719
15.02880,-60.87023,-3.54008,0.48707
15.04000,-60.87057,-3.53426,0.48627
15.05600,-60.87108,-3.53633,0.48655
15.06080,-60.87124,-3.53574,0.48646
15.07200,-60.87158,-3.53993,0.48704
15.08800,-60.87197,-3.54831,0.48818
15.10400,-60.87208,-3.54303,0.48746
15.10780,-60.87211,-3.53720,0.48665
15.12000,-60.87239,-3.53378,0.48618
15.13600,-60.87280,-3.53636,0.48653
15.13780,-60.87285,-3.53491,0.48633
15.15200,-60.87328,-3.53752,0.48668
15.16800,-60.87379,-3.53554,0.48641
15.16980,-60.87385,-3.53474,0.48629
15.18400,-60.87430,-3.53781,0.48671
15.20000,-60.87481,-3.53833,0.48678
15.20580,-60.87500,-3.53515,0.48634
15.21600,-60.87532,-3.53617,0.48647
15.23200,-60.87582,-3.53945,0.48692
15.23880,-60.87604,-3.53554,0.48638
15.24800,-60.87633,-3.53774,0.48668
15.26400,-60.87684,-3.53862,0.48679
15.26880,-60.87699,-3.53555,0.48637
15.28000,-60.87734,-3.54011,0.48699
15.29600,-60.87785,-3.54187,0.48723
15.31200,-60.87836,-3.54197,0.48723
15.31780,-60.87855,-3.53715,0.48657
15.32180,-60.87867,-3.53419,0.48616
15.32800,-60.87886,-3.53797,0.48668
15.32980,-60.87893,-3.54003,0.48696
15.33980,-60.87907,-3.53658,0.48648
15.34400,-60.87916,-3.53724,0.48657
15.36000,-60.87950,-3.53865,0.48676
15.37600,-60.87981,-3.53912,0.48682
15.38880,-60.88006,-3.53584,0.48637
15.39200,-60.88013,-3.53446,0.48618
15.40800,-60.88064,-3.53737,0.48657
15.40980,-60.88070,-3.53565,0.48633
15.42080,-60.88110,-3.54311,0.48736
15.42400,-60.88116,-3.54505,0.48762
15.43080,-60.88126,-3.54022,0.48696
15.43880,-60.88147,-3.53448,0.48616
15.44000,-60.88150,-3.53464,0.48619
15.44780,-60.88175,-3.54173,0.48716
15.45600,-60.88196,-3.53855,0.48672
15.45680,-60.88199,-3.53736,0.48655
15.46180,-60.88217,-3.53357,0.48603
15.46880,-60.88248,-3.53989,0.48690
15.47200,-60.88258,-3.54176,0.48715
15.47980,-60.88278,-3.53530,0.48626
15.48800,-60.88314,-3.53203,0.48581
15.50400,-60.88367,-3.54270,0.48727
15.50980,-60.88377,-3.53798,0.48662
15.51980,-60.88402,-3.54683,0.48783
15.52000,-60.88402,-3.54683,0.48783
15.53380,-60.88406,-3.54307,0.48731
15.53600,-60.88409,-3.54106,0.48704
15.55200,-60.88459,-3.54360,0.48738
15.56800,-60.88472,-3.54629,0.48775
15.57080,-60.88475,-3.54105,0.48703
15.57580,-60.88491,-3.53145,0.48570
15.58180,-60.88531,-3.52293,0.48453
15.58400,-60.88548,-3.52231,0.48444
15.59580,-60.88648,-3.53259,0.48584
15.60000,-60.88667,-3.53842,0.48664
15.61600,-60.88684,-3.55932,0.48951
15.61780,-60.88683,-3.56087,0.48973
15.63200,-60.88671,-3.56632,0.49048
15.64800,-60.88651,-3.56232,0.48993
15.66400,-60.88630,-3.55298,0.48865
15.67380,-60.88621,-3.54182,0.48711
15.68000,-60.88634,-3.53423,0.48607
15.68180,-60.88642,-3.53159,0.48570
15.68980,-60.88683,-3.52120,0.48427
15.69580,-60.88727,-3.51342,0.48320
15.69600,-60.88727,-3.51342,0.48320
15.70480,-60.88813,-3.50657,0.48224
15.71200,-60.88882,-3.50573,0.48212
15.72800,-60.89038,-3.52501,0.48475
15.74400,-60.89102,-3.55267,0.48855
15.76000,-60.89095,-3.56290,0.48995
15.77600,-60.89084,-3.55249,0.48852
15.78280,-60.89084,-3.54119,0.48697
15.79080,-60.89114,-3.52786,0.48513
15.79200,-60.89120,-3.52671,0.48497
15.80800,-60.89222,-3.52460,0.48467
15.82400,-60.89312,-3.53808,0.48651
15.84000,-60.89355,-3.54861,0.48796
15.85080,-60.89362,-3.54434,0.48737
15.85600,-60.89365,-3.54224,0.48708
15.87200,-60.89375,-3.54235,0.48709
15.88800,-60.89386,-3.54554,0.48753
15.90400,-60.89396,-3.55525,0.48887
15.92000,-60.89406,-3.54695,0.48772
15.92280,-60.89409,-3.54095,0.48690
15.92680,-60.89420,-3.53171,0.48562
15.93080,-60.89441,-3.52320,0.48445
15.93600,-60.89482,-3.51707,0.48360
15.95180,-60.89611,-3.53526,0.48609
15.95200,-60.89611,-3.53526,0.48609
15.96800,-60.89615,-3.55555,0.48888
15.97580,-60.89603,-3.54517,0.48745
15.97980,-60.89610,-3.53684,0.48631
15.98400,-60.89626,-3.52954,0.48530
15.98680,-60.89645,-3.52542,0.48473
15.99680,-60.89726,-3.53269,0.48572
16.00000,-60.89745,-3.53915,0.48661
16.00080,-60.89750,-3.54109,0.48687
16.01480,-60.89768,-3.54474,0.48737
16.01600,-60.89769,-3.54338,0.48719
16.01880,-60.89773,-3.53923,0.48662
16.02980,-60.89811,-3.54418,0.48729
16.03200,-60.89816,-3.54603,0.48754
16.04380,-60.89824,-3.54098,0.48685
16.04800,-60.89833,-3.53523,0.48606
16.04880,-60.89837,-3.53411,0.48590
16.05880,-60.89886,-3.54093,0.48683
16.06400,-60.89898,-3.54822,0.48784
16.06480,-60.89899,-3.54938,0.48800
16.07580,-60.89887,-3.54689,0.48765
16.07880,-60.89887,-3.54084,0.48682
16.08000,-60.89889,-3.53895,0.48656
16.08380,-60.89900,-3.53409,0.48589
16.09180,-60.89940,-3.53687,0.48627
16.09600,-60.89960,-3.53672,0.48625
16.10280,-60.89996,-3.53277,0.48570
16.11200,-60.90039,-3.53935,0.48660
16.12800,-60.90081,-3.53567,0.48609
16.14400,-60.90116,-3.54153,0.48689
16.16000,-60.90147,-3.53949,0.48660
16.16180,-60.90150,-3.53803,0.48640
16.17600,-60.90177,-3.54231,0.48699
16.18980,-60.90192,-3.53631,0.48616
16.19200,-60.90197,-3.53385,0.48582
16.20800,-60.90265,-3.54215,0.48696
16.22400,-60.90306,-3.54108,0.48680
16.23780,-60.90329,-3.53908,0.48652
16.24000,-60.90332,-3.53625,0.48614
16.25600,-60.90389,-3.54313,0.48707
16.26780,-60.90405,-3.53687,0.48621
16.27200,-60.90420,-3.53332,0.48572
16.28800,-60.90481,-3.53724,0.48625
16.29080,-60.90489,-3.53481,0.48592
16.30180,-60.90523,-3.54193,0.48689
16.30400,-60.90527,-3.54246,0.48697
16.30980,-60.90538,-3.53823,0.48638
16.32000,-60.90563,-3.54235,0.48695
16.33080,-60.90585,-3.53680,0.48618
16.33600,-60.90600,-3.53919,0.48651
16.33980,-60.90612,-3.54328,0.48707
16.34880,-60.90630,-3.53758,0.48628
16.35200,-60.90638,-3.53535,0.48597
16.36800,-60.90680,-3.54582,0.48741
16.37580,-60.90687,-3.53842,0.48639
16.38400,-60.90714,-3.53527,0.48595
16.39180,-60.90742,-3.54377,0.48712
16.40000,-60.90753,-3.54496,0.48728
16.40280,-60.90757,-3.54165,0.48682
16.40780,-60.90767,-3.53386,0.48575
16.41600,-60.90812,-3.52861,0.48503
16.42880,-60.90876,-3.54684,0.48752
16.43200,-60.90878,-3.55162,0.48818
16.44800,-60.90850,-3.55245,0.48830
16.45080,-60.90846,-3.54772,0.48765
16.45580,-60.90852,-3.53743,0.48623
16.46080,-60.90875,-3.52787,0.48492
16.46400,-60.90895,-3.52487,0.48450
16.47480,-60.90977,-3.53382,0.48572
16.48000,-60.90999,-3.54239,0.48690
16.49080,-60.91011,-3.53709,0.48617
16.49580,-60.91027,-3.53092,0.48532
16.49600,-60.91027,-3.53092,0.48532
16.51200,-60.91123,-3.52114,0.48396
16.52800,-60.91202,-3.54586,0.48735
16.52880,-60.91203,-3.54796,0.48764
16.54400,-60.91164,-3.56657,0.49020
16.56000,-60.91121,-3.55231,0.48824
16.56180,-60.91121,-3.54847,0.48772
16.56780,-60.91138,-3.53489,0.48585
16.57280,-60.91170,-3.52390,0.48433
16.57600,-60.91195,-3.51852,0.48359
16.59200,-60.91336,-3.51658,0.48331
16.60480,-60.91410,-3.54335,0.48698
16.60800,-60.91412,-3.54944,0.48781
16.62400,-60.91368,-3.56256,0.48962
16.63380,-60.91340,-3.54827,0.48766
16.63780,-60.91341,-3.53821,0.48628
16.64000,-60.91345,-3.53344,0.48562
16.64280,-60.91357,-3.52749,0.48480
16.65600,-60.91449,-3.52818,0.48489
16.65680,-60.91456,-3.53020,0.48516
16.66180,-60.91481,-3.53884,0.48635
16.66880,-60.91494,-3.53858,0.48631
16.67200,-60.91498,-3.53579,0.48593
16.67280,-60.91500,-3.53499,0.48582
16.68780,-60.91545,-3.54366,0.48700
16.68800,-60.91545,-3.54366,0.48700
16.69980,-60.91547,-3.54191,0.48676
16.70400,-60.91553,-3.53543,0.48587
16.70480,-60.91557,-3.53377,0.48564
16.71080,-60.91589,-3.52548,0.48450
16.72000,-60.91652,-3.52835,0.48489
16.72280,-60.91670,-3.53262,0.48547
16.72880,-60.91691,-3.54397,0.48703
16.73600,-60.91689,-3.54782,0.48756
16.73980,-60.91684,-3.54345,0.48696
16.74380,-60.91685,-3.53707,0.48608
16.75080,-60.91712,-3.52769,0.48479
16.75200,-60.91718,-3.52744,0.48475
16.75980,-60.91768,-3.53488,0.48577
16.76480,-60.91787,-3.54408,0.48703
16.76800,-60.91791,-3.54934,0.48775
16.78180,-60.91769,-3.54597,0.48729
16.78400,-60.91768,-3.54267,0.48684
16.78680,-60.91772,-3.53721,0.48609
16.79380,-60.91803,-3.52618,0.48457
16.80000,-60.91845,-3.52063,0.48380
16.81580,-60.91947,-3.53684,0.48602
16.81600,-60.91947,-3.53684,0.48602
16.82380,-60.91955,-3.55293,0.48823
16.83200,-60.91931,-3.56237,0.48953
16.84280,-60.91897,-3.55351,0.48831
16.84680,-60.91893,-3.54461,0.48709
16.84800,-60.91894,-3.54247,0.48680
16.86400,-60.91961,-3.53857,0.48625
16.86980,-60.91978,-3.54536,0.48718
16.87980,-60.91985,-3.54297,0.48685
16.88000,-60.91985,-3.54297,0.48685
16.88580,-60.91993,-3.53341,0.48554
16.88980,-60.92009,-3.52713,0.48467
16.89600,-60.92046,-3.52875,0.48489
16.89880,-60.92065,-3.53340,0.48553
16.91200,-60.92094,-3.53576,0.48585
16.91380,-60.92097,-3.53384,0.48559
16.92800,-60.92149,-3.53541,0.48579
16.93180,-60.92162,-3.54059,0.48650
16.93980,-60.92172,-3.53921,0.48631
16.94400,-60.92179,-3.53478,0.48570
16.94480,-60.92183,-3.53376,0.48556
16.95880,-60.92241,-3.54125,0.48659
16.96000,-60.92243,-3.54272,0.48679
16.97180,-60.92248,-3.54056,0.48649
16.97600,-60.92255,-3.53961,0.48636
16.99080,-60.92286,-3.53384,0.48556
16.99200,-60.92289,-3.53361,0.48553
17.00080,-60.92323,-3.53857,0.48621
17.00780,-60.92345,-3.53550,0.48578
17.00800,-60.92345,-3.53550,0.48578
17.02400,-60.92396,-3.53216,0.48532
17.03980,-60.92447,-3.53104,0.48516
17.04000,-60.92447,-3.53104,0.48516
17.05600,-60.92497,-3.53779,0.48608
17.07180,-60.92549,-3.53614,0.48584
17.07200,-60.92549,-3.53614,0.48584
17.08800,-60.92598,-3.54109,0.48652
17.10400,-60.92610,-3.54118,0.48653
17.11780,-60.92625,-3.52887,0.48484
17.12000,-60.92629,-3.52737,0.48463
17.13600,-60.92680,-3.53408,0.48555
17.15180,-60.92730,-3.53499,0.48566
17.15200,-60.92730,-3.53499,0.48566
17.16800,-60.92781,-3.54090,0.48647
17.18400,-60.92803,-3.53650,0.48586
17.19880,-60.92822,-3.52900,0.48483
17.20000,-60.92824,-3.52903,0.48483
17.21600,-60.92859,-3.52837,0.48474
17.23200,-60.92899,-3.53005,0.48497
17.23380,-60.92905,-3.53124,0.48513
17.24800,-60.92940,-3.53954,0.48626
17.26400,-60.92981,-3.54142,0.48652
17.28000,-60.93021,-3.53120,0.48511
17.28180,-60.93027,-3.53094,0.48507
17.29600,-60.93062,-3.53551,0.48570
17.31200,-60.93103,-3.54078,0.48641
17.32800,-60.93143,-3.53356,0.48542
17.33480,-60.93160,-3.52916,0.48481
17.34400,-60.93183,-3.52420,0.48413
17.34880,-60.93197,-3.52109,0.48370
17.36000,-60.93238,-3.52324,0.48399
17.37600,-60.93295,-3.53708,0.48588
17.39200,-60.93332,-3.53861,0.48609
17.39780,-60.93344,-3.53316,0.48534
17.40800,-60.93363,-3.53255,0.48525
17.42400,-60.93393,-3.53777,0.48596
17.44000,-60.93424,-3.54177,0.48651
